"","coefficient","gene"
"(Intercept)",11.256125954667,"(Intercept)"
"PDK4",0.406163051028963,"PDK4"
"TAC1",-0.0613881777415023,"TAC1"
"CX3CL1",2.02815100816534,"CX3CL1"
"PNPLA4",-0.969970765910806,"PNPLA4"
"CACNA2D2",-1.85735641602477,"CACNA2D2"
"CAMK1G",0.440719964187649,"CAMK1G"
"NFIX",0.157857205840345,"NFIX"
"CD9",0.063576917466113,"CD9"
"APBA3",-0.573319623752841,"APBA3"
"CEP68",0.572254081820408,"CEP68"
"EHD3",1.06858806555363,"EHD3"
"MVP",0.690984055045844,"MVP"
"RALBP1",-0.383529436084581,"RALBP1"
"AKAP11",0.0118257470681113,"AKAP11"
"VIM",-0.0531172813999703,"VIM"
"FAS",2.6270788783727,"FAS"
"TUBG2",1.27400214919592,"TUBG2"
"MRI1",-0.168802573173161,"MRI1"
"FAM184B",0.637912762066608,"FAM184B"
"LMO3",-0.0248041447252713,"LMO3"
"KITLG",0.414411505101878,"KITLG"
"PER3",0.026905601536917,"PER3"
"FSTL4",0.36356085356239,"FSTL4"
"ANAPC4",0.0394249682867422,"ANAPC4"
"CAMK2B",0.642026659783351,"CAMK2B"
"BCAT1",-1.09880573895628,"BCAT1"
"CA11",0.127092030367937,"CA11"
"LPAR2",-0.736694681001902,"LPAR2"
"GSTO2",0.0982956052791093,"GSTO2"
"ME1",0.119117936159449,"ME1"
"ZFAT",0.189123927046302,"ZFAT"
"SLC6A15",-0.276093964408927,"SLC6A15"
"LNX1",0.388664900643024,"LNX1"
"TRNT1",-0.0282838210576514,"TRNT1"
"PVR",0.490403635457618,"PVR"
"IGF2BP2",-1.96559557168336,"IGF2BP2"
"EPB41L2",0.129272294457567,"EPB41L2"
"KCNN2",1.16494207324459,"KCNN2"
"TCF7",0.308188055070808,"TCF7"
"DLG3",0.0554117901406937,"DLG3"
"CD82",0.118512782939631,"CD82"
"PILRA",0.0467888516916827,"PILRA"
"SNX10",-0.561736144180016,"SNX10"
"MT3",0.0392468588949667,"MT3"
"KLHL42",0.0229592953589771,"KLHL42"
"RBBP9",-1.45734975280179,"RBBP9"
"FH",-0.154214106295606,"FH"
"CDC34",-0.303609607525989,"CDC34"
"ASCC2",0.994632264202236,"ASCC2"
"PNPLA3",-0.574195491203106,"PNPLA3"
"COCH",-0.00694348152571914,"COCH"
"GNPNAT1",-0.0146842864212484,"GNPNAT1"
"SAMD15",-0.00384313979613341,"SAMD15"
"DHRS7",0.34347182427763,"DHRS7"
"C14orf93",-0.329384354754947,"C14orf93"
"GID8",-0.0394532783014465,"GID8"
"TRIB3",0.144832205644694,"TRIB3"
"RASSF2",0.46506928073326,"RASSF2"
"SEC23B",-0.185862352357826,"SEC23B"
"TTI1",0.0704895475539558,"TTI1"
"CHMP4B",-0.0259601479745673,"CHMP4B"
"RIOK3",-0.200699112029855,"RIOK3"
"RP2",-1.06531504004892,"RP2"
"NALCN",0.65834122173168,"NALCN"
"ARHGEF7",0.0182531280669919,"ARHGEF7"
"TSC22D1",0.0538180491402336,"TSC22D1"
"NUTF2",-0.461240995046659,"NUTF2"
"HAS3",-0.338412146072318,"HAS3"
"CMC2",0.381522554261227,"CMC2"
"HCFC1R1",1.06257281416741,"HCFC1R1"
"HAGHL",0.812121315412642,"HAGHL"
"EARS2",-0.224453620994167,"EARS2"
"QPRT",-0.783654232077326,"QPRT"
"SLC30A4",-0.418337365402701,"SLC30A4"
"PDGFRL",-2.09192550379093,"PDGFRL"
"CALB1",-0.0471143794406516,"CALB1"
"SNX16",1.45254325475319,"SNX16"
"AMH",-0.333902383098757,"AMH"
"CCDC9",-1.94974417611032,"CCDC9"
"CAPS",0.133614210456045,"CAPS"
"ZNF14",-0.292624790714032,"ZNF14"
"DNAJC2",-0.071880778554715,"DNAJC2"
"VIPR2",0.32176141053514,"VIPR2"
"POU6F2",-0.0013215742354092,"POU6F2"
"RARRES2",0.51186180221227,"RARRES2"
"AHR",1.93226067088645,"AHR"
"TMEM176B",1.97679658685086,"TMEM176B"
"SLC1A1",0.0410843833942437,"SLC1A1"
"LHX2",0.0955354836575173,"LHX2"
"SEC23IP",-0.0625962660480688,"SEC23IP"
"SORCS1",-0.0392087244728677,"SORCS1"
"LGI1",0.0159297069868014,"LGI1"
"GIT1",0.251828502433265,"GIT1"
"RGS9",-0.370183830296704,"RGS9"
"HLF",1.36995363900411,"HLF"
"DPH1",-0.427576888510831,"DPH1"
"USP46",0.02386742439334,"USP46"
"PPARGC1A",0.0134684418832039,"PPARGC1A"
"ASIC1",0.373997413540021,"ASIC1"
"SYT10",-0.661495505481106,"SYT10"
"RAB5B",-0.753321050611086,"RAB5B"
"NOP2",0.115293262822348,"NOP2"
"SPSB2",-0.337453608028452,"SPSB2"
"NT5DC3",1.20829897078205,"NT5DC3"
"ST8SIA1",-0.0132187519948952,"ST8SIA1"
"ULBP1",-0.192825262890416,"ULBP1"
"FBXO9",0.0671189386065861,"FBXO9"
"E2F3",0.151439907351821,"E2F3"
"SLC16A10",0.292013081827258,"SLC16A10"
"EPM2A",0.00180868360165817,"EPM2A"
"HMGCR",-0.476335865885346,"HMGCR"
"PCDHB5",0.335563839382451,"PCDHB5"
"TXNDC15",-0.185303254645983,"TXNDC15"
"ABHD14B",0.191145794225233,"ABHD14B"
"CLCN2",-0.0572175624291793,"CLCN2"
"ACADL",0.89617906906477,"ACADL"
"IGFBP2",-0.197516806210456,"IGFBP2"
"DHCR24",-0.524449586200985,"DHCR24"
"PAPPA2",-0.170924330352636,"PAPPA2"
"WARS2",-0.000595341672651108,"WARS2"
"CTBS",0.857578999351987,"CTBS"
"RCAN3",-0.380259469285308,"RCAN3"
"NRP2",-0.287820808895527,"NRP2"
"PMFBP1",0.150501558323458,"PMFBP1"
"CCND2",0.0583342270893925,"CCND2"
"KLF9",2.22360027374047,"KLF9"
"NEK6",-0.509727308645752,"NEK6"
"ONECUT2",-0.736978847714479,"ONECUT2"
"DNMT3A",-0.160933497185202,"DNMT3A"
"MOB3B",0.116748935983073,"MOB3B"
"KCNJ5",1.28178486062979,"KCNJ5"
"TAF12",-0.489386204650689,"TAF12"
"CLU",0.382312527176273,"CLU"
"SORBS3",0.783858847982349,"SORBS3"
"LYPLA1",-0.00343198250507201,"LYPLA1"
"TSHZ3",-0.120203928221283,"TSHZ3"
"ECHDC2",0.721165767271006,"ECHDC2"
"PEX16",0.0331646341856739,"PEX16"
"PILRB",0.650355992684139,"PILRB"
"FABP3",0.271499715550997,"FABP3"
"RASL11A",-0.243996810640313,"RASL11A"
"CCZ1",0.758419581560569,"CCZ1"
"CIT",0.0560636399508151,"CIT"
"ORMDL2",-0.431064498916586,"ORMDL2"
"PDE1B",-0.299028222630161,"PDE1B"
"IL13RA2",1.92956538345446,"IL13RA2"
"FAM199X",-0.201719327328197,"FAM199X"
"RAB38",-1.53848834814927,"RAB38"
"PARD6B",-0.769348422507891,"PARD6B"
"MRS2",-0.329248903793301,"MRS2"
"RRP36",-0.408193453088792,"RRP36"
"FLRT3",-0.0706155499224465,"FLRT3"
"MCF2L",0.102468282430875,"MCF2L"
"PLEKHG3",0.327518764802425,"PLEKHG3"
"TNFRSF19",-0.516477789870782,"TNFRSF19"
"PPAT",-0.378850240022877,"PPAT"
"CLN6",0.629902026627339,"CLN6"
"SOX15",1.64029683888067,"SOX15"
"SNX6",-0.392618895886181,"SNX6"
"GDF15",-0.948534799954197,"GDF15"
"ASS1",0.722030312841953,"ASS1"
"THEMIS2",0.483872333289501,"THEMIS2"
"ZNF331",0.1761018969147,"ZNF331"
"RGN",0.0162763108489593,"RGN"
"GALNT15",2.71709680973337,"GALNT15"
"SLC6A6",0.418222762681162,"SLC6A6"
"KCNC3",0.334231431980443,"KCNC3"
"ACLY",-0.412845139494604,"ACLY"
"PRKAB2",0.171346054034123,"PRKAB2"
"RHPN2",-0.0502192369347434,"RHPN2"
"IQCA1",-0.126993574215207,"IQCA1"
"RIN2",0.303084150753626,"RIN2"
"DSTYK",0.249226906913245,"DSTYK"
"C1QTNF6",-0.428398041185902,"C1QTNF6"
"KRAS",-0.114457127284241,"KRAS"
"AP4B1",0.093159690599273,"AP4B1"
"LPIN1",0.0777725793938845,"LPIN1"
"CCNH",0.262140780141985,"CCNH"
"SLC43A3",0.0713082179708422,"SLC43A3"
"DHX34",-0.204057058926734,"DHX34"
"TMED7",-0.206196702326807,"TMED7"
"PHF11",0.874408521938441,"PHF11"
"IGF2BP3",-0.0670987943753292,"IGF2BP3"
"DBNL",-0.0360885353643213,"DBNL"
"STX17",0.174718149268208,"STX17"
"MYC",-0.00904378788742873,"MYC"
"TMEM8B",0.0083922972241419,"TMEM8B"
"HMGA1",-0.0121624455883508,"HMGA1"
"SORL1",0.274905482598644,"SORL1"
"PAK6",0.562620218305146,"PAK6"
"STAMBPL1",1.73399102236774,"STAMBPL1"
"NAB1",0.0687611747957459,"NAB1"
"SHF",0.165592075276839,"SHF"
"APH1B",0.496259204936375,"APH1B"
"USO1",0.545855363867632,"USO1"
"N4BP2L1",1.4853251789139,"N4BP2L1"
"VPS37B",0.337729932487298,"VPS37B"
"DENR",-0.463217755868755,"DENR"
"CDH24",0.168245462373131,"CDH24"
"BNIP2",0.515244846818803,"BNIP2"
"NEIL1",1.47596309591937,"NEIL1"
"ABHD2",0.549803387441995,"ABHD2"
"FURIN",0.0342694109698119,"FURIN"
"SEC11A",-0.0487144005829329,"SEC11A"
"PCTP",-0.977932157345367,"PCTP"
"ARSG",0.545654212884809,"ARSG"
"FBXO15",-0.045188669668655,"FBXO15"
"ERBB2",-0.101542783180723,"ERBB2"
"NFIC",0.152312939641163,"NFIC"
"SIRT3",-0.302580348169268,"SIRT3"
"PGD",-0.202104800676945,"PGD"
"CTTNBP2NL",0.373308580006227,"CTTNBP2NL"
"ATP1B1",0.209927856744254,"ATP1B1"
"TUFT1",-0.55275217341176,"TUFT1"
"CGN",-0.341829896889468,"CGN"
"OAZ3",-3.9992961046075,"OAZ3"
"SMYD2",1.33551325563978,"SMYD2"
"SYT2",-0.939523328992098,"SYT2"
"MEIS1",-0.222376495486668,"MEIS1"
"POMGNT2",1.30819548230865,"POMGNT2"
"COL8A1",2.97153425667631,"COL8A1"
"NXPE3",0.000508120270005883,"NXPE3"
"SETD7",0.203887018239244,"SETD7"
"CXCL14",0.819233888270833,"CXCL14"
"CPLX2",0.00234040334984557,"CPLX2"
"TRIM7",0.91519728935497,"TRIM7"
"RNF44",-0.871890704230177,"RNF44"
"DOK3",-0.157868656841104,"DOK3"
"ABRACL",-0.0575492177280478,"ABRACL"
"CCZ1B",-0.684194782774927,"CCZ1B"
"PURB",0.495875977621412,"PURB"
"AK3",0.116534381356651,"AK3"
"ASB6",0.153464564453038,"ASB6"
"INA",-0.220256868137724,"INA"
"APIP",-0.597529977391976,"APIP"
"SLC43A1",0.821368955117976,"SLC43A1"
"NPAT",0.589182802927312,"NPAT"
"HMGA2",-0.233931847682118,"HMGA2"
"HNMT",0.00656846581507136,"HNMT"
"PIH1D2",-0.738125231163887,"PIH1D2"
"SLC7A11",0.0870051391573325,"SLC7A11"
"GPR158",0.0145192493796147,"GPR158"
"BEND6",1.0168651414546,"BEND6"
"PSTPIP2",-1.67386886391327,"PSTPIP2"
"PDK1",-0.0703698283412565,"PDK1"
"SPARCL1",0.196614539463714,"SPARCL1"
"PTPRR",0.777668418765077,"PTPRR"
"LGI4",0.702575566379368,"LGI4"
"TRIM11",0.509783408788615,"TRIM11"
