"","s1","genes"
"(Intercept)",10.94639446691,"(Intercept)"
"PDK4",0.305939608180225,"PDK4"
"ZMYND10",-0.279067962708347,"ZMYND10"
"RPAP3",-0.20738087883963,"RPAP3"
"TAC1",-0.16534562437092,"TAC1"
"CX3CL1",2.10504591985098,"CX3CL1"
"CACNA2D2",-1.62910065512356,"CACNA2D2"
"CAMK1G",1.03093971162134,"CAMK1G"
"NFIX",0.191246650399384,"NFIX"
"STARD3NL",-0.12773280017655,"STARD3NL"
"CD9",0.00408333053959942,"CD9"
"APBA3",-0.745167088664399,"APBA3"
"CEP68",0.450192411522077,"CEP68"
"EXTL3",-0.108522074510936,"EXTL3"
"EHD3",0.735717281048085,"EHD3"
"MVP",0.977545455790603,"MVP"
"RALBP1",-0.460573710765732,"RALBP1"
"VIM",-0.074920861744259,"VIM"
"KCNG1",0.0407419720350252,"KCNG1"
"ASTE1",0.385648604731987,"ASTE1"
"CYP46A1",0.331993489769785,"CYP46A1"
"MRI1",-0.30468166694638,"MRI1"
"FAM184B",0.282877252915516,"FAM184B"
"KITLG",0.492326281457826,"KITLG"
"PER3",0.244113389835949,"PER3"
"HOMER3",0.140362063066769,"HOMER3"
"FSTL4",0.41129608220773,"FSTL4"
"PTPRN",0.0290310735423013,"PTPRN"
"CAMK2B",0.834048236228565,"CAMK2B"
"BCAT1",-1.01929663321577,"BCAT1"
"CA11",0.294510588300174,"CA11"
"AHRR",0.247718385106762,"AHRR"
"LPAR2",-0.806573529440626,"LPAR2"
"WDR3",-0.0666962188452495,"WDR3"
"GSTO2",0.00943615608776501,"GSTO2"
"ME1",0.710603857987345,"ME1"
"PDE4A",0.385502977204678,"PDE4A"
"ISOC1",-0.0642656650726745,"ISOC1"
"ZFAT",0.0936191411525758,"ZFAT"
"PLEKHH3",0.18415822773738,"PLEKHH3"
"ATP1B3",0.131997896849475,"ATP1B3"
"SLC6A15",-0.335957208113386,"SLC6A15"
"LNX1",0.339037131641766,"LNX1"
"TRNT1",-0.276460924341362,"TRNT1"
"SEMA3A",-0.040634962198135,"SEMA3A"
"RGS11",0.368719702083077,"RGS11"
"TPD52",0.228907781976385,"TPD52"
"ACTN2",0.0894904929149566,"ACTN2"
"KCNN2",1.07106163371713,"KCNN2"
"TCF7",0.246831764745017,"TCF7"
"DLG3",0.0952862458852744,"DLG3"
"TRAF5",0.0210976221739593,"TRAF5"
"TRPM3",-0.0756557036606517,"TRPM3"
"ZMPSTE24",-0.19867992879868,"ZMPSTE24"
"CD82",0.0451825613831814,"CD82"
"DDHD2",0.00305240475954908,"DDHD2"
"USP40",0.389575686862102,"USP40"
"EIF2AK1",-0.0936940615434713,"EIF2AK1"
"SNX10",-0.478146706241007,"SNX10"
"ADAMTS2",-0.238032174111065,"ADAMTS2"
"KLHL42",0.0391900675563243,"KLHL42"
"RBBP9",-1.33120347603023,"RBBP9"
"TGFB2",-0.0187354312322039,"TGFB2"
"IKZF5",0.278250205857173,"IKZF5"
"TSPO",0.16681920463948,"TSPO"
