"","s1","genes"
"(Intercept)",24.2923596795104,"(Intercept)"
"LASP1",-0.0635962621723534,"LASP1"
"SNX11",-0.402103297424582,"SNX11"
"PDK4",0.0849106629671903,"PDK4"
"TAC1",-0.131905991222921,"TAC1"
"CX3CL1",2.08623490768958,"CX3CL1"
"CACNA1G",0.0976013796638803,"CACNA1G"
"BAIAP2L1",0.337881006244821,"BAIAP2L1"
"CACNA2D2",-0.8794710994714,"CACNA2D2"
"NFIX",0.206285193446943,"NFIX"
"CD9",0.0417715471681962,"CD9"
"MRC2",-0.0175334801049962,"MRC2"
"PPP5C",0.334532681325346,"PPP5C"
"CEP68",0.391636232921946,"CEP68"
"EHD3",0.0034579809418857,"EHD3"
"NUDCD3",0.21369127391264,"NUDCD3"
"FHL1",0.00410429570052525,"FHL1"
"VIM",-0.357891736279638,"VIM"
"KCNG1",0.1664079281236,"KCNG1"
"CYP46A1",0.257494736804091,"CYP46A1"
"TUBG2",0.454754981295044,"TUBG2"
"GPM6B",0.191610843893224,"GPM6B"
"TPR",-1.11988965985155,"TPR"
"FAM184B",0.372209817148506,"FAM184B"
"MSMO1",-0.83242693575303,"MSMO1"
"FSTL4",0.270250519575925,"FSTL4"
"PKP2",0.317708181084299,"PKP2"
"CAMK2B",0.160630129934833,"CAMK2B"
"BCAT1",-0.928783314653019,"BCAT1"
"LPAR2",-0.0391234649942598,"LPAR2"
"ISOC1",-0.111760938092547,"ISOC1"
"CAMK2A",0.275870791131088,"CAMK2A"
"SLC6A15",-0.277541053147462,"SLC6A15"
"LNX1",0.228321978612166,"LNX1"
"IGF2BP2",-4.44094376389176,"IGF2BP2"
"CA12",-0.100920492339615,"CA12"
"FSCN1",-0.315564317987009,"FSCN1"
"RGS11",0.276405299623408,"RGS11"
"PLXNA2",0.103468313578852,"PLXNA2"
"TPD52",0.0637246038174594,"TPD52"
"ACTN2",0.0125261921974133,"ACTN2"
"MAP2",0.529579450940771,"MAP2"
"FDFT1",-1.29395285526733,"FDFT1"
"KCNN2",0.30786228301202,"KCNN2"
"ARG2",-0.117309158674772,"ARG2"
"CCNT2",0.34956709335594,"CCNT2"
"RAB10",-1.5054320938189,"RAB10"
"MTIF2",-0.075070862713309,"MTIF2"
"SNX10",-0.324746910276023,"SNX10"
"FTL",0.0165992816424583,"FTL"
"ADAMTS2",-0.70814634027585,"ADAMTS2"
"MT3",0.389734359686868,"MT3"
"RBBP9",-0.514044681119093,"RBBP9"
"ZBTB25",0.405282585799477,"ZBTB25"
"PITPNM3",0.269360261987257,"PITPNM3"
"G2E3",0.118537561855725,"G2E3"
"IKZF5",0.657219925441008,"IKZF5"
"EFHC1",-0.22453262999579,"EFHC1"
"HNRNPM",-0.882722952647315,"HNRNPM"
"CDC34",-0.0485527772184651,"CDC34"
"TBC1D10A",-0.0246372622695933,"TBC1D10A"
"PICK1",0.117430028224781,"PICK1"
"PNPLA3",-0.331341971417837,"PNPLA3"
"RANGAP1",0.0613314390095187,"RANGAP1"
"VCPKMT",0.254896971436827,"VCPKMT"
"PRPF6",-0.116681467736659,"PRPF6"
"MANBAL",0.107906888101809,"MANBAL"
"RIOK3",-0.801262442764835,"RIOK3"
"MMP15",-0.0556262914573973,"MMP15"
"HAS3",-0.516258481447686,"HAS3"
"CMC2",0.335835023978806,"CMC2"
"HCFC1R1",0.81071399113101,"HCFC1R1"
"TAF1C",0.0663197919800178,"TAF1C"
"USP10",-0.197020074595091,"USP10"
"RPAP1",-0.0174289594776531,"RPAP1"
"EYA1",-0.415498838554999,"EYA1"
"CALB1",-0.209394161569152,"CALB1"
"SQLE",-0.766514717255821,"SQLE"
"BNIP3L",-1.73513306678997,"BNIP3L"
"PTOV1",-0.89772648217875,"PTOV1"
"AKAP8",-0.239819975663792,"AKAP8"
"CCDC9",-0.217169103411811,"CCDC9"
"CAPS",1.75555814847084,"CAPS"
"ISYNA1",-0.585122805963147,"ISYNA1"
"ZKSCAN1",0.562493352586938,"ZKSCAN1"
"MOSPD3",-0.00925630444280109,"MOSPD3"
"POU6F2",-0.0243469211649027,"POU6F2"
"RARRES2",0.166861467527336,"RARRES2"
"AHR",0.436520050538945,"AHR"
"ELAVL2",-0.239881080801404,"ELAVL2"
"CXCL12",0.0249795649902195,"CXCL12"
"SEC23IP",-0.0770254659347269,"SEC23IP"
"LGI1",0.0809205931312972,"LGI1"
"RGS9",-0.361305209189459,"RGS9"
"CBX1",-1.08987004982171,"CBX1"
"CNTNAP1",0.422858873568117,"CNTNAP1"
"HLF",0.758158932014704,"HLF"
"CPE",0.24844973370286,"CPE"
"ST3GAL4",-0.117931019675841,"ST3GAL4"
"CEP164",0.262785885896199,"CEP164"
"FBXO3",0.32902311547031,"FBXO3"
"SLC1A2",1.08792622985389,"SLC1A2"
"CAMKK2",0.0364070799062321,"CAMKK2"
"SYT10",-0.444281969776752,"SYT10"
"RAB5B",-0.583813074559339,"RAB5B"
"SPSB2",-0.190042115077222,"SPSB2"
"ENO2",0.220850749165489,"ENO2"
"NT5DC3",1.18838024132378,"NT5DC3"
"GPLD1",0.138776466860741,"GPLD1"
"SLC16A10",0.451353916442227,"SLC16A10"
"TBP",-0.701970716838432,"TBP"
"DPYSL3",0.316833004348349,"DPYSL3"
"ACVR2B",-0.125993255382198,"ACVR2B"
"NKTR",1.95898044979855,"NKTR"
"NCL",-0.286471168555342,"NCL"
"PRRX1",0.26324591786257,"PRRX1"
"DHCR24",-0.112213895818957,"DHCR24"
"PAPPA2",-0.00894706426962471,"PAPPA2"
"MIIP",-0.0161103477709727,"MIIP"
"WARS2",-0.513997585402688,"WARS2"
"RCAN3",-0.622676253524153,"RCAN3"
"NRP2",-0.226022864035548,"NRP2"
"ALDH8A1",-0.332854970823766,"ALDH8A1"
"CCND2",0.633579717656127,"CCND2"
"KLF9",0.907249149375315,"KLF9"
"ONECUT2",-0.353667196650448,"ONECUT2"
"ACAT2",-1.16644675127403,"ACAT2"
"TAF12",-0.289757446249523,"TAF12"
"CLU",1.36656455041117,"CLU"
"SORBS3",0.131180758557009,"SORBS3"
"ECHDC2",1.17851285378218,"ECHDC2"
"PILRB",0.181158792240683,"PILRB"
"TBC1D15",0.0309863752827799,"TBC1D15"
"LRIF1",-0.0993639047714737,"LRIF1"
"RASL11A",-0.792786369512311,"RASL11A"
"CCZ1",0.571590412818954,"CCZ1"
"CIT",0.209647767323872,"CIT"
"TUBA1B",0.192096615665147,"TUBA1B"
"IL13RA2",0.445400093458608,"IL13RA2"
"RAB38",-0.828305229143711,"RAB38"
"PARD6B",-0.765577568106419,"PARD6B"
"CPNE5",-0.121933728419366,"CPNE5"
"MIF4GD",-0.0916079693865504,"MIF4GD"
"MSTO1",0.109590332743335,"MSTO1"
"GRIA3",0.274546848721603,"GRIA3"
"AMOT",-0.469894991565857,"AMOT"
"BCL11B",-0.52163993312678,"BCL11B"
"LRFN1",0.00348607762121583,"LRFN1"
